generic_name,category,tier,notes
prednisone dose pack,RX,2,
dexamethasone,RX,2,
triamcinolone,RX,2,
azelastine,RX,2,nasal spray - low imaging priority
mometasone,RX,2,nasal spray - low imaging priority
benzonatate,RX,1,
guaifenesin with codeine,RX,2,
lidocaine patch,RX,2,topical - low imaging priority
gabapentin ER,RX,2,
pregabalin,RX,1,controlled substance
baclofen,RX,1,
tizanidine,RX,2,
methocarbamol,RX,2,
metoprolol,RX,1,ClinCalc DrugStats 2024 rank #8
semaglutide,RX,1,ClinCalc DrugStats 2024 rank #14
dextroamphetamine/dextroamphetamine saccharate/amphetamine/amphetamine aspartate,RX,1,ClinCalc DrugStats 2024 rank #15
fluticasone,RX,1,ClinCalc DrugStats 2024 rank #23
acetaminophen/hydrocodone,RX,1,ClinCalc DrugStats 2024 rank #31
ibuprofen,RX,1,ClinCalc DrugStats 2024 rank #38
venlafaxine,RX,1,ClinCalc DrugStats 2024 rank #40
potassium chloride,RX,1,ClinCalc DrugStats 2024 rank #42
hydroxyzine,RX,1,ClinCalc DrugStats 2024 rank #43
ergocalciferol,RX,1,ClinCalc DrugStats 2024 rank #46
estradiol,RX,1,ClinCalc DrugStats 2024 rank #52
aspirin,RX,1,ClinCalc DrugStats 2024 rank #53
cholecalciferol,RX,1,ClinCalc DrugStats 2024 rank #60
valsartan,RX,1,ClinCalc DrugStats 2024 rank #64
diclofenac,RX,1,ClinCalc DrugStats 2024 rank #66
insulin lispro,RX,1,ClinCalc DrugStats 2024 rank #67
ethinyl estradiol/norethindrone,RX,1,ClinCalc DrugStats 2024 rank #68
latanoprost,RX,1,ClinCalc DrugStats 2024 rank #70
doxycycline,RX,1,ClinCalc DrugStats 2024 rank #73
amoxicillin/clavulanate,RX,1,ClinCalc DrugStats 2024 rank #74
dulaglutide,RX,1,ClinCalc DrugStats 2024 rank #75
hydrochlorothiazide/lisinopril,RX,1,ClinCalc DrugStats 2024 rank #76
fluticasone/salmeterol,RX,1,ClinCalc DrugStats 2024 rank #78
insulin aspart,RX,1,ClinCalc DrugStats 2024 rank #79
celecoxib,RX,1,ClinCalc DrugStats 2024 rank #80
alendronate,RX,1,ClinCalc DrugStats 2024 rank #86
acetaminophen/oxycodone,RX,1,ClinCalc DrugStats 2024 rank #90
hydrochlorothiazide/losartan,RX,1,ClinCalc DrugStats 2024 rank #91
olmesartan,RX,1,ClinCalc DrugStats 2024 rank #92
testosterone,RX,1,ClinCalc DrugStats 2024 rank #93
fenofibrate,RX,1,ClinCalc DrugStats 2024 rank #97
budesonide/formoterol,RX,2,ClinCalc DrugStats 2024 rank #104
ethinyl estradiol/norgestimate,RX,2,ClinCalc DrugStats 2024 rank #105
fluticasone/umeclidinium/vilanterol,RX,2,ClinCalc DrugStats 2024 rank #106
acetaminophen,RX,2,ClinCalc DrugStats 2024 rank #108
diltiazem,RX,2,ClinCalc DrugStats 2024 rank #109
thyroid,RX,2,ClinCalc DrugStats 2024 rank #110
naproxen,RX,2,ClinCalc DrugStats 2024 rank #112
sumatriptan,RX,2,ClinCalc DrugStats 2024 rank #113
esomeprazole,RX,2,ClinCalc DrugStats 2024 rank #115
norethindrone,RX,2,ClinCalc DrugStats 2024 rank #118
nifedipine,RX,2,ClinCalc DrugStats 2024 rank #120
progesterone,RX,2,ClinCalc DrugStats 2024 rank #121
insulin degludec,RX,2,ClinCalc DrugStats 2024 rank #122
cyanocobalamin,RX,2,ClinCalc DrugStats 2024 rank #123
adalimumab,RX,2,ClinCalc DrugStats 2024 rank #125
chlorthalidone,RX,2,ClinCalc DrugStats 2024 rank #129
oxybutynin,RX,2,ClinCalc DrugStats 2024 rank #130
ketoconazole,RX,2,ClinCalc DrugStats 2024 rank #132
irbesartan,RX,2,ClinCalc DrugStats 2024 rank #133
isosorbide,RX,2,ClinCalc DrugStats 2024 rank #138
methylprednisolone,RX,2,ClinCalc DrugStats 2024 rank #139
hydrochlorothiazide/triamterene,RX,2,ClinCalc DrugStats 2024 rank #140
levocetirizine,RX,2,ClinCalc DrugStats 2024 rank #141
dexmethylphenidate,RX,2,ClinCalc DrugStats 2024 rank #144
donepezil,RX,2,ClinCalc DrugStats 2024 rank #146
ropinirole,RX,2,ClinCalc DrugStats 2024 rank #148
clobetasol,RX,2,ClinCalc DrugStats 2024 rank #149
fluticasone/vilanterol,RX,2,ClinCalc DrugStats 2024 rank #150
albuterol/ipratropium,RX,2,ClinCalc DrugStats 2024 rank #151
phentermine,RX,2,ClinCalc DrugStats 2024 rank #152
ofloxacin,RX,2,ClinCalc DrugStats 2024 rank #153
mupirocin,RX,2,ClinCalc DrugStats 2024 rank #154
verapamil,RX,2,ClinCalc DrugStats 2024 rank #155
prazosin,RX,2,ClinCalc DrugStats 2024 rank #158
ethinyl estradiol/levonorgestrel,RX,2,ClinCalc DrugStats 2024 rank #161
evolocumab,RX,2,ClinCalc DrugStats 2024 rank #162
mesalamine,RX,2,ClinCalc DrugStats 2024 rank #163
memantine,RX,2,ClinCalc DrugStats 2024 rank #164
ethinyl estradiol/etonogestrel,RX,2,ClinCalc DrugStats 2024 rank #165
lithium,RX,2,ClinCalc DrugStats 2024 rank #167
nortriptyline,RX,2,ClinCalc DrugStats 2024 rank #168
timolol,RX,2,ClinCalc DrugStats 2024 rank #169
cefdinir,RX,2,ClinCalc DrugStats 2024 rank #170
magnesium salts,RX,2,ClinCalc DrugStats 2024 rank #171
meclizine,RX,2,ClinCalc DrugStats 2024 rank #172
cyclosporine,RX,2,ClinCalc DrugStats 2024 rank #173
fluconazole,RX,2,ClinCalc DrugStats 2024 rank #174
rimegepant,RX,2,ClinCalc DrugStats 2024 rank #175
tretinoin,RX,2,ClinCalc DrugStats 2024 rank #176
lovastatin,RX,2,ClinCalc DrugStats 2024 rank #177
drospirenone/ethinyl estradiol,RX,2,ClinCalc DrugStats 2024 rank #178
docusate,RX,2,ClinCalc DrugStats 2024 rank #180
temazepam,RX,2,ClinCalc DrugStats 2024 rank #181
benazepril,RX,2,ClinCalc DrugStats 2024 rank #182
brimonidine,RX,2,ClinCalc DrugStats 2024 rank #183
sacubitril/valsartan,RX,2,ClinCalc DrugStats 2024 rank #184
valproate,RX,2,ClinCalc DrugStats 2024 rank #185
nebivolol,RX,2,ClinCalc DrugStats 2024 rank #186
morphine,RX,2,ClinCalc DrugStats 2024 rank #188
doxazosin,RX,2,ClinCalc DrugStats 2024 rank #189
amlodipine/benazepril,RX,2,ClinCalc DrugStats 2024 rank #190
nirmatrelvir/ritonavir,RX,2,ClinCalc DrugStats 2024 rank #191
emtricitabine/tenofovir,RX,2,ClinCalc DrugStats 2024 rank #192
tacrolimus,RX,2,ClinCalc DrugStats 2024 rank #194
dupilumab,RX,2,ClinCalc DrugStats 2024 rank #195
enalapril,RX,2,ClinCalc DrugStats 2024 rank #196
anastrozole,RX,2,ClinCalc DrugStats 2024 rank #197
melatonin,RX,2,ClinCalc DrugStats 2024 rank #198
torsemide,RX,2,ClinCalc DrugStats 2024 rank #199
nitroglycerin,RX,3,ClinCalc DrugStats 2024 rank #201
ketorolac,RX,3,ClinCalc DrugStats 2024 rank #202
flecainide,RX,3,ClinCalc DrugStats 2024 rank #203
liothyronine,RX,3,ClinCalc DrugStats 2024 rank #204
telmisartan,RX,3,ClinCalc DrugStats 2024 rank #205
lansoprazole,RX,3,ClinCalc DrugStats 2024 rank #208
insulin human/insulin isophane human,RX,3,ClinCalc DrugStats 2024 rank #209
oxcarbazepine,RX,3,ClinCalc DrugStats 2024 rank #210
dicyclomine,RX,3,ClinCalc DrugStats 2024 rank #212
calcium,RX,3,ClinCalc DrugStats 2024 rank #213
minoxidil,RX,3,ClinCalc DrugStats 2024 rank #214
linaclotide,RX,3,ClinCalc DrugStats 2024 rank #215
rizatriptan,RX,3,ClinCalc DrugStats 2024 rank #217
oseltamivir,RX,3,ClinCalc DrugStats 2024 rank #218
nystatin,RX,3,ClinCalc DrugStats 2024 rank #219
dorzolamide/timolol,RX,3,ClinCalc DrugStats 2024 rank #220
budesonide/glycopyrrolate/formoterol,RX,3,ClinCalc DrugStats 2024 rank #221
terazosin,RX,3,ClinCalc DrugStats 2024 rank #222
dexlansoprazole,RX,3,ClinCalc DrugStats 2024 rank #223
acetaminophen/codeine,RX,3,ClinCalc DrugStats 2024 rank #224
erythromycin,RX,3,ClinCalc DrugStats 2024 rank #225
dorzolamide,RX,3,ClinCalc DrugStats 2024 rank #226
hydrocortisone,RX,3,ClinCalc DrugStats 2024 rank #227
bisoprolol,RX,3,ClinCalc DrugStats 2024 rank #228
solifenacin,RX,3,ClinCalc DrugStats 2024 rank #229
betamethasone/clotrimazole,RX,3,ClinCalc DrugStats 2024 rank #231
dextroamphetamine,RX,3,ClinCalc DrugStats 2024 rank #232
omega-3-acid ethyl esters,RX,3,ClinCalc DrugStats 2024 rank #233
epinephrine,RX,3,ClinCalc DrugStats 2024 rank #234
dextromethorphan/promethazine,RX,3,ClinCalc DrugStats 2024 rank #236
ramipril,RX,3,ClinCalc DrugStats 2024 rank #237
loperamide,RX,3,ClinCalc DrugStats 2024 rank #238
mirabegron,RX,3,ClinCalc DrugStats 2024 rank #239
medroxyprogesterone,RX,3,ClinCalc DrugStats 2024 rank #240
sucralfate,RX,3,ClinCalc DrugStats 2024 rank #242
ubrogepant,RX,3,ClinCalc DrugStats 2024 rank #243
pramipexole,RX,3,ClinCalc DrugStats 2024 rank #244
calcitriol,RX,3,ClinCalc DrugStats 2024 rank #245
ipratropium,RX,3,ClinCalc DrugStats 2024 rank #246
ticagrelor,RX,3,ClinCalc DrugStats 2024 rank #247
pancrelipase lipase/pancrelipase protease/pancrelipase amylase,RX,3,ClinCalc DrugStats 2024 rank #249
polymyxin b/trimethoprim,RX,3,ClinCalc DrugStats 2024 rank #250
bumetanide,RX,3,ClinCalc DrugStats 2024 rank #251
sodium salts,RX,3,ClinCalc DrugStats 2024 rank #253
alfuzosin,RX,3,ClinCalc DrugStats 2024 rank #254
senna/docusate,RX,3,ClinCalc DrugStats 2024 rank #255
moxifloxacin,RX,3,ClinCalc DrugStats 2024 rank #256
clotrimazole,RX,3,ClinCalc DrugStats 2024 rank #257
terbinafine,RX,3,ClinCalc DrugStats 2024 rank #258
isotretinoin,RX,3,ClinCalc DrugStats 2024 rank #259
insulin isophane,RX,3,ClinCalc DrugStats 2024 rank #260
calcium phosphate/cholecalciferol,RX,3,ClinCalc DrugStats 2024 rank #261
insulin detemir,RX,3,ClinCalc DrugStats 2024 rank #262
letrozole,RX,3,ClinCalc DrugStats 2024 rank #263
sodium fluoride,RX,3,ClinCalc DrugStats 2024 rank #264
acetaminophen/butalbital/caffeine,RX,3,ClinCalc DrugStats 2024 rank #265
ciclopirox,RX,3,ClinCalc DrugStats 2024 rank #266
cyproheptadine,RX,3,ClinCalc DrugStats 2024 rank #267
ethinyl estradiol/norelgestromin,RX,3,ClinCalc DrugStats 2024 rank #269
desogestrel/ethinyl estradiol,RX,3,ClinCalc DrugStats 2024 rank #270
chlorhexidine,RX,3,ClinCalc DrugStats 2024 rank #271
nabumetone,RX,3,ClinCalc DrugStats 2024 rank #272
lidocaine,RX,3,ClinCalc DrugStats 2024 rank #273
hydroquinone,RX,3,ClinCalc DrugStats 2024 rank #274
codeine/guaifenesin,RX,3,ClinCalc DrugStats 2024 rank #275
dexamethasone/neomycin/polymyxin b,RX,3,ClinCalc DrugStats 2024 rank #276
polyethylene glycol 3350 with electrolytes,RX,3,ClinCalc DrugStats 2024 rank #277
penicillin v,RX,3,ClinCalc DrugStats 2024 rank #278
levalbuterol,RX,3,ClinCalc DrugStats 2024 rank #280
lactate,RX,3,ClinCalc DrugStats 2024 rank #281
guanfacine,RX,3,ClinCalc DrugStats 2024 rank #283
betamethasone,RX,3,ClinCalc DrugStats 2024 rank #284
fluorouracil,RX,3,ClinCalc DrugStats 2024 rank #286
beclomethasone,RX,3,ClinCalc DrugStats 2024 rank #287
loratadine/pseudoephedrine,RX,3,ClinCalc DrugStats 2024 rank #288
ascorbic acid,RX,3,ClinCalc DrugStats 2024 rank #289
mycophenolate mofetil,RX,3,ClinCalc DrugStats 2024 rank #290
olopatadine,RX,3,ClinCalc DrugStats 2024 rank #291
indomethacin,RX,3,ClinCalc DrugStats 2024 rank #292
brompheniramine/dextromethorphan/pseudoephedrine,RX,3,ClinCalc DrugStats 2024 rank #293
benzoyl peroxide,RX,3,ClinCalc DrugStats 2024 rank #294
ciprofloxacin/dexamethasone,RX,3,ClinCalc DrugStats 2024 rank #295
phenazopyridine,RX,3,ClinCalc DrugStats 2024 rank #296
cefuroxime,RX,3,ClinCalc DrugStats 2024 rank #297
thiamine,RX,3,ClinCalc DrugStats 2024 rank #298
ethinyl estradiol/norgestrel,RX,3,ClinCalc DrugStats 2024 rank #299
sulfacetamide/sulfur,RX,3,ClinCalc DrugStats 2024 rank #300
