generic_name,category,common_brands,notes
naproxen/esomeprazole,OTC,Vimovo-style combo (Rx not OTC - verify),verify RX/OTC status before including
capsaicin,OTC,"Capzasin, Zostrix","AI-compiled list (unverified ranking, names cross-checked): Topical joint & muscle pain relief"
diclofenac sodium 1%,OTC,Voltaren Arthritis Gel,"AI-compiled list (unverified ranking, names cross-checked): Topical arthritis joint pain relief"
lidocaine 4%,OTC,Aspercreme Lidocaine,"AI-compiled list (unverified ranking, names cross-checked): Topical localized pain numbing"
menthol,OTC,"Biofreeze, Icy Hot","AI-compiled list (unverified ranking, names cross-checked): Counterirritant for muscle/joint aches"
methyl salicylate,OTC,Bengay Ultra Strength,"AI-compiled list (unverified ranking, names cross-checked): Topical muscle pain rub"
magnesium salicylate,OTC,Doan's Pills,"AI-compiled list (unverified ranking, names cross-checked): Backache pain reliever"
acetaminophen / caffeine / pyrilamine,OTC,Midol Complete,"AI-compiled list (unverified ranking, names cross-checked): Menstrual cramp and fatigue relief"
acetaminophen / aspirin / caffeine,OTC,Excedrin Migraine,"AI-compiled list (unverified ranking, names cross-checked): Synergistic migraine pain relief"
ibuprofen sodium,OTC,Advil Film-Coated,"AI-compiled list (unverified ranking, names cross-checked): Faster-absorbing NSAID variant"
naproxen sodium / diphenhydramine,OTC,Aleve PM,"AI-compiled list (unverified ranking, names cross-checked): Nighttime pain relief and sleep aid combo"
acetaminophen / diphenhydramine,OTC,Tylenol PM,"AI-compiled list (unverified ranking, names cross-checked): Nighttime pain relief and sleep aid combo"
benzocaine (topical),OTC,Lanacane,"AI-compiled list (unverified ranking, names cross-checked): Topical local anesthetic for skin irritation"
pramoxine hydrochloride,OTC,Sarna Sensitive Skin,"AI-compiled list (unverified ranking, names cross-checked): Topical anti-itch anesthetic cream"
trolamine salicylate,OTC,Aspercreme Cream,"AI-compiled list (unverified ranking, names cross-checked): Odor-free topical analgesic rub"
lidocaine 0.5% / aloe,OTC,Solarcaine,"AI-compiled list (unverified ranking, names cross-checked): Sunburn relief topical spray"
benzocaine / menthol,OTC,Dermoplast Spray,"AI-compiled list (unverified ranking, names cross-checked): Topical postpartum & burn relief spray"
cetirizine hydrochloride,OTC,Zyrtec,"AI-compiled list (unverified ranking, names cross-checked): 24hr indoor/outdoor allergy relief"
fexofenadine hydrochloride,OTC,Allegra,"AI-compiled list (unverified ranking, names cross-checked): Non-drowsy 24hr seasonal allergy relief"
levocetirizine dihydrochloride,OTC,Xyzal,"AI-compiled list (unverified ranking, names cross-checked): 24hr allergy relief"
diphenhydramine hydrochloride,OTC,Benadryl,"AI-compiled list (unverified ranking, names cross-checked): Acute allergy relief & hives treatment"
chlorpheniramine maleate,OTC,Chlor-Trimeton,"AI-compiled list (unverified ranking, names cross-checked): Short-acting antihistamine for cold/allergy"
brompheniramine maleate,OTC,Dimetapp,"AI-compiled list (unverified ranking, names cross-checked): Pediatric allergy/cold symptom relief"
clemastine fumarate,OTC,Tavist-1,"AI-compiled list (unverified ranking, names cross-checked): Antihistamine for runny nose & itchy eyes"
ketotifen fumarate,OTC,"Zaditor, Alaway","AI-compiled list (unverified ranking, names cross-checked): Antihistamine eye drops for itch relief"
naphazoline hydrochloride,OTC,Clear Eyes,"AI-compiled list (unverified ranking, names cross-checked): Eye redness reliever"
olopatadine hydrochloride 0.1%,OTC,Pataday Once Daily,"AI-compiled list (unverified ranking, names cross-checked): Once-daily allergy itch eye drops"
olopatadine hydrochloride 0.2%,OTC,Pataday Twice Daily,"AI-compiled list (unverified ranking, names cross-checked): High-potency allergy itch eye drops"
tetrahydrozoline hydrochloride,OTC,Visine,"AI-compiled list (unverified ranking, names cross-checked): Blood vessel constrictor for red eyes"
cromolyn sodium,OTC,NasalCrom,"AI-compiled list (unverified ranking, names cross-checked): Mast cell stabilizer nasal spray for allergy prevention"
pheniramine maleate / naphazoline,OTC,Naphcon-A,"AI-compiled list (unverified ranking, names cross-checked): Antihistamine/vasoconstrictor combo eye drop"
azelastine hydrochloride 0.15%,OTC,Astepro Allergy,"AI-compiled list (unverified ranking, names cross-checked): First OTC nasal antihistamine spray"
cetirizine / pseudoephedrine,OTC,Zyrtec-D,"AI-compiled list (unverified ranking, names cross-checked): 12hr antihistamine decongestant combo"
loratadine / pseudoephedrine,OTC,Claritin-D,"AI-compiled list (unverified ranking, names cross-checked): 24hr non-drowsy antihistamine decongestant combo"
fexofenadine / pseudoephedrine,OTC,Allegra-D,"AI-compiled list (unverified ranking, names cross-checked): 12hr non-drowsy antihistamine decongestant combo"
tetrahydrozoline / zinc sulfate,OTC,Visine AC,"AI-compiled list (unverified ranking, names cross-checked): Astringent and redness reliever eye drop"
naphazoline / glycerin,OTC,Clear Eyes Maximum,"AI-compiled list (unverified ranking, names cross-checked): Redness relief plus ocular lubricant"
triprolidine hydrochloride,OTC,Children's Zyrtec Soothing,"AI-compiled list (unverified ranking, names cross-checked): Short-acting antihistamine for pediatric use"
pyrilamine maleate,OTC,Pamprin,"AI-compiled list (unverified ranking, names cross-checked): Antihistamine component for premenstrual water retention"
fluticasone propionate,OTC,Flonase Allergy Relief,"AI-compiled list (unverified ranking, names cross-checked): Intranasal corticosteroid for allergy relief"
budesonide (nasal),OTC,Rhinocort Allergy,"AI-compiled list (unverified ranking, names cross-checked): Glucocorticoid nasal spray for allergic rhinitis"
triamcinolone acetonide,OTC,Nasacort Allergy 24HR,"AI-compiled list (unverified ranking, names cross-checked): Corticosteroid nasal spray for nasal congestion"
mometasone furoate (nasal),OTC,Nasonex 24HR Allergy,"AI-compiled list (unverified ranking, names cross-checked): Intranasal corticosteroid spray"
fluticasone furoate,OTC,Flonase Sensimist,"AI-compiled list (unverified ranking, names cross-checked): Scent-free, alcohol-free nasal allergy steroid"
pseudoephedrine hydrochloride,OTC,Sudafed,"AI-compiled list (unverified ranking, names cross-checked): Behind-The-Counter systemic nasal decongestant"
phenylephrine hydrochloride,OTC,Sudafed PE,"AI-compiled list (unverified ranking, names cross-checked): Systemic decongestant"
oxymetazoline hydrochloride,OTC,Afrin,"AI-compiled list (unverified ranking, names cross-checked): Topical fast-acting nasal decongestant spray"
sodium chloride (nasal),OTC,Ocean Nasal Spray,"AI-compiled list (unverified ranking, names cross-checked): Saline wash for moisturizing nasal passages"
epinephrine (inhalation),OTC,Primatene Mist,"AI-compiled list (unverified ranking, names cross-checked): Temporary relief for mild intermittent asthma"
ephedrine / guaifenesin,OTC,Primatene Tablets,"AI-compiled list (unverified ranking, names cross-checked): Oral bronchodilator & expectorant combination"
dextromethorphan hydrobromide,OTC,Delsym,"AI-compiled list (unverified ranking, names cross-checked): Antitussive (cough suppressant)"
acetaminophen / dextromethorphan / doxylamine,OTC,NyQuil Cold & Flu,"AI-compiled list (unverified ranking, names cross-checked): Multi-symptom nighttime cold relief"
acetaminophen / dextromethorphan / phenylephrine,OTC,DayQuil Cold & Flu,"AI-compiled list (unverified ranking, names cross-checked): Multi-symptom daytime cold relief"
acetaminophen / pseudoephedrine,OTC,Sudafed Sinus Congestion,"AI-compiled list (unverified ranking, names cross-checked): Sinus pressure and headache relief"
guaifenesin / pseudoephedrine,OTC,Mucinex D,"AI-compiled list (unverified ranking, names cross-checked): Extended-release congestion & mucus relief"
guaifenesin / dextromethorphan,OTC,Mucinex DM,"AI-compiled list (unverified ranking, names cross-checked): Dual action cough suppressant & expectorant"
ibuprofen / pseudoephedrine,OTC,Advil Cold & Sinus,"AI-compiled list (unverified ranking, names cross-checked): Sinus pressure and pain inflammation relief"
levmetamfetamine,OTC,Vicks VapoInhaler,"AI-compiled list (unverified ranking, names cross-checked): Nasal decongestant inhaler stick"
propylhexedrine,OTC,Benzedrex Inhaler,"AI-compiled list (unverified ranking, names cross-checked): Nasal decongestant inhaler vasoconstrictor"
benzyl alcohol,OTC,Cepacol Lozenges,"AI-compiled list (unverified ranking, names cross-checked): Oral topical anesthetic sore throat lozenge"
dyclonine hydrochloride,OTC,Sucrets,"AI-compiled list (unverified ranking, names cross-checked): Oral anesthetic lozenge for throat pain"
phenol (liquid),OTC,Chloraseptic Throat Spray,"AI-compiled list (unverified ranking, names cross-checked): Topical anesthetic oral spray"
menthol (lozenges),OTC,Halls Cough Drops,"AI-compiled list (unverified ranking, names cross-checked): Cough suppressant oral demulcent"
zinc acetate / zinc gluconate,OTC,Cold-Eeze,"AI-compiled list (unverified ranking, names cross-checked): Zinc lozenges for cold duration shortening"
homeopathic zinc gluconate,OTC,Zicam,"AI-compiled list (unverified ranking, names cross-checked): Pre-cold nasal/oral reduction gel"
chlophedianol hydrochloride,OTC,Vanacof,"AI-compiled list (unverified ranking, names cross-checked): Non-narcotic cough suppressant"
dextromethorphan polistirex,OTC,Delsym 12 Hour,"AI-compiled list (unverified ranking, names cross-checked): Extended-release cough suppressant"
pseudoephedrine / triprolidine,OTC,Actifed,"AI-compiled list (unverified ranking, names cross-checked): Decongestant/antihistamine respiratory combo"
esomeprazole magnesium,OTC,Nexium 24HR,"AI-compiled list (unverified ranking, names cross-checked): PPI for suppressing stomach acid production"
cimetidine,OTC,Tagamet HB,"AI-compiled list (unverified ranking, names cross-checked): H2 blocker for heartburn relief"
aluminum hydroxide / magnesium hydroxide,OTC,Mylanta,"AI-compiled list (unverified ranking, names cross-checked): Liquid antacid for rapid neutralization"
sodium bicarbonate,OTC,Alka-Seltzer,"AI-compiled list (unverified ranking, names cross-checked): Effervescent antacid and pain reliever"
psyllium husk,OTC,Metamucil,"AI-compiled list (unverified ranking, names cross-checked): Bulk-forming fiber laxative"
senna / sennosides,OTC,"Senokot, Ex-Lax","AI-compiled list (unverified ranking, names cross-checked): Stimulant laxative for bowel motility"
magnesium hydroxide,OTC,Milk of Magnesia,"AI-compiled list (unverified ranking, names cross-checked): Saline laxative & antacid"
magnesium citrate,OTC,Citroma,"AI-compiled list (unverified ranking, names cross-checked): Rapid saline laxative bowel prep"
loperamide hydrochloride,OTC,Immodium A-D,"AI-compiled list (unverified ranking, names cross-checked): Anti-motility agent for diarrhea relief"
lactase enzyme,OTC,Lactaid,"AI-compiled list (unverified ranking, names cross-checked): Digestive aid for lactose intolerance"
alpha-galactosidase,OTC,Beano,"AI-compiled list (unverified ranking, names cross-checked): Enzyme replacement to prevent gas from complex carbs"
glycerin (suppository),OTC,Fleet Glycerin,"AI-compiled list (unverified ranking, names cross-checked): Hyperosmotic localized laxative"
polycarbophil,OTC,FiberCon,"AI-compiled list (unverified ranking, names cross-checked): Bulk-forming laxative antidiarrheal stabilizer"
wheat dextrin,OTC,Benefiber,"AI-compiled list (unverified ranking, names cross-checked): Soluble prebiotic fiber supplement"
inulin fiber,OTC,FiberChoice,"AI-compiled list (unverified ranking, names cross-checked): Soluble dietary fiber chewable supplement"
loperamide / simethicone,OTC,Imodium Multi-Symptom,"AI-compiled list (unverified ranking, names cross-checked): Dual antidiarrheal & anti-gas relief"
activated charcoal,OTC,CharcoCaps,"AI-compiled list (unverified ranking, names cross-checked): Oral adsorbent for flatulence/bloating"
sodium citrate / citric acid,OTC,Alka-Seltzer Heartburn,"AI-compiled list (unverified ranking, names cross-checked): Non-aspirin effervescent antacid"
magnesium oxide,OTC,Mag-Ox 400,"AI-compiled list (unverified ranking, names cross-checked): Mineral supplement / osmotic laxative action"
phosphorated carbohydrate solution,OTC,Emetrol,"AI-compiled list (unverified ranking, names cross-checked): Oral solution for anti-nausea/vomiting"
meclizine hydrochloride,OTC,"Bonine, Dramamine Less Drowsy","AI-compiled list (unverified ranking, names cross-checked): Antiemetic for motion sickness/vertigo"
ginger root extract,OTC,Dramamine Non-Drowsy,"AI-compiled list (unverified ranking, names cross-checked): Herbal antiemetic alternative"
sennosides / docusate sodium,OTC,Senokot-S,"AI-compiled list (unverified ranking, names cross-checked): Stimulant laxative plus stool softener combo"
sodium phosphate,OTC,Fleet Enema,"AI-compiled list (unverified ranking, names cross-checked): Hypertonic saline rapid laxative enema"
mineral oil (enema),OTC,Fleet Mineral Oil Enema,"AI-compiled list (unverified ranking, names cross-checked): Lubricant laxative enema format"
attapulgite,OTC,Rheaban,"AI-compiled list (unverified ranking, names cross-checked): Adsorbent anti-diarrheal agent"
mineral oil (oral),OTC,Kondremul,"AI-compiled list (unverified ranking, names cross-checked): Lubricant laxative liquid"
castor oil,OTC,Sky Organics Castor,"AI-compiled list (unverified ranking, names cross-checked): Stimulant laxative oil extract"
docusate calcium,OTC,Surfak,"AI-compiled list (unverified ranking, names cross-checked): Calcium-based stool softening emollient"
hydrocortisone 1%,OTC,Cortizone-10,"AI-compiled list (unverified ranking, names cross-checked): Topical corticosteroid for eczema & itching"
bacitracin / neomycin / polymyxin b,OTC,Neosporin,"AI-compiled list (unverified ranking, names cross-checked): Topical prevention of minor skin infections"
bacitracin / polymyxin b,OTC,Polysporin,"AI-compiled list (unverified ranking, names cross-checked): Double antibiotic ointment for sensitive skin"
clotrimazole (topical),OTC,Lotrimin AF,"AI-compiled list (unverified ranking, names cross-checked): Topical antifungal for athlete's foot & ringworm"
miconazole nitrate,OTC,Monistat,"AI-compiled list (unverified ranking, names cross-checked): Antifungal for vaginal yeast infections"
terbinafine hydrochloride,OTC,Lamisil AT,"AI-compiled list (unverified ranking, names cross-checked): Fungicidal topical cream for tinea infections"
tolnaftate,OTC,Tinactin,"AI-compiled list (unverified ranking, names cross-checked): Antifungal spray/cream for superficial infections"
ketoconazole 1%,OTC,Nizoral A-D,"AI-compiled list (unverified ranking, names cross-checked): Antifungal shampoo for dandruff control"
selenium sulfide 1%,OTC,Selsun Blue,"AI-compiled list (unverified ranking, names cross-checked): Antiseborrheic and antifungal shampoo"
pyrithione zinc,OTC,Head & Shoulders,"AI-compiled list (unverified ranking, names cross-checked): Anti-dandruff and scalp conditioning agent"
benzoyl peroxide 10%,OTC,PanOxyl,"AI-compiled list (unverified ranking, names cross-checked): Topical antibacterial acne vulgaris therapy"
salicylic acid 2%,OTC,Neutrogena Acne Wash,"AI-compiled list (unverified ranking, names cross-checked): Keratolytic agent for acne care"
adapalene 0.1%,OTC,Differin Gel,"AI-compiled list (unverified ranking, names cross-checked): Topical retinoid for acne control"
docosanol 10%,OTC,Abreva,"AI-compiled list (unverified ranking, names cross-checked): Topical antiviral cream for cold sores (Herpes Simplex)"
permethrin 1%,OTC,Nix Cream Rinse,"AI-compiled list (unverified ranking, names cross-checked): Pediculicide for head lice infestations"
calamine / pramoxine,OTC,Caladryl,"AI-compiled list (unverified ranking, names cross-checked): Topical antipruritic for poison ivy/insect bites"
witch hazel (hamamelis virginiana),OTC,Tucks Medicated Pads,"AI-compiled list (unverified ranking, names cross-checked): Topical astringent for hemorrhoidal relief"
zinc oxide,OTC,"Desitin, Aquaphor","AI-compiled list (unverified ranking, names cross-checked): Skin protectant & diaper rash barrier"
dimethicone,OTC,Aveeno Daily Moisture,"AI-compiled list (unverified ranking, names cross-checked): Skin emollient/protectant skin barrier"
petrolatum (white),OTC,Vaseline Petroleum Jelly,"AI-compiled list (unverified ranking, names cross-checked): Occlusive skin emollient protectant"
benzalkonium chloride / lidocaine,OTC,Bactine MAX,"AI-compiled list (unverified ranking, names cross-checked): First-aid antiseptic cleaner & local anesthetic"
neomycin / polymyxin / pramoxine,OTC,Neosporin + Pain Relief,"AI-compiled list (unverified ranking, names cross-checked): Antibiotic plus topical numbing agent"
hydrocortisone acetate,OTC,Anusol-HC Cream,"AI-compiled list (unverified ranking, names cross-checked): Anti-inflammatory hemorrhoidal therapy"
phenylephrine / mineral oil / petrolatum,OTC,Preparation H Ointment,"AI-compiled list (unverified ranking, names cross-checked): Vasoconstrictor hemorrhoidal protectant"
coal tar,OTC,Neutrogena T/Gel,"AI-compiled list (unverified ranking, names cross-checked): Anti-psoriasis, anti-seborrheic scalp wash"
sulfur / salicylic acid,OTC,Sebex Shampoo,"AI-compiled list (unverified ranking, names cross-checked): Keratolytic scalp flake remedy"
ketoconazole cream,OTC,Nizoral Topical,"AI-compiled list (unverified ranking, names cross-checked): Dermatological antifungal skin cream"
undecylenic acid,OTC,Fungi-Nail,"AI-compiled list (unverified ranking, names cross-checked): Topical antifungal for skin around nails"
tolnaftate liquid,OTC,ProClearz,"AI-compiled list (unverified ranking, names cross-checked): Liquid topical antifungal for nail margins"
benzoyl peroxide 4% wash,OTC,PanOxyl Acne Cream Wash,"AI-compiled list (unverified ranking, names cross-checked): Moderate potency antimicrobial acne cleanser"
sulfur (topical),OTC,De La Cruz Sulfur Ointment,"AI-compiled list (unverified ranking, names cross-checked): Antimicrobial acne and skin spot treatment"
resorcinol / sulfur,OTC,Clearasil Tinted Cream,"AI-compiled list (unverified ranking, names cross-checked): Keratolytic acne concealer treatment"
alpha-hydroxy acids (glycolic),OTC,NeoStrata,"AI-compiled list (unverified ranking, names cross-checked): Exfoliating skin peeling agent"
urea 10% - 20%,OTC,Eucerin Roughness Relief,"AI-compiled list (unverified ranking, names cross-checked): Keratolytic deep skin moisturizing cream"
ammonium lactate 12%,OTC,AmLactin,"AI-compiled list (unverified ranking, names cross-checked): Alpha-hydroxy acid moisturizing lotion"
minoxidil 5%,OTC,Rogaine,"AI-compiled list (unverified ranking, names cross-checked): Topical hair regrowth stimulant"
pyrethrins / piperonyl butoxide,OTC,RID Lice Shampoo,"AI-compiled list (unverified ranking, names cross-checked): Pediculicide synergized neurotoxic treatment"
dimethicone (lice),OTC,LiceMD,"AI-compiled list (unverified ranking, names cross-checked): Non-toxic physical suffocation lice treatment"
colloidal oatmeal,OTC,Aveeno Bath Treatment,"AI-compiled list (unverified ranking, names cross-checked): Skin protectant bath for rash/chickenpox"
aluminum acetate,OTC,Domeboro Astringent,"AI-compiled list (unverified ranking, names cross-checked): Soaking solution for rash/poison ivy weeping"
witch hazel liquid,OTC,Dickinson's Witch Hazel,"AI-compiled list (unverified ranking, names cross-checked): General facial toner and astringent liquid"
salicylic acid 17%,OTC,Compound W,"AI-compiled list (unverified ranking, names cross-checked): High-potency keratolytic for common wart removal"
clotrimazole 3-day,OTC,Monistat 3 Vaginal,"AI-compiled list (unverified ranking, names cross-checked): Vaginal antifungal 3-day treatment regimen"
clotrimazole 7-day,OTC,Gyne-Lotrimin 7,"AI-compiled list (unverified ranking, names cross-checked): Vaginal antifungal 7-day treatment regimen"
tioconazole 1-day,OTC,Monistat 1,"AI-compiled list (unverified ranking, names cross-checked): Vaginal antifungal 1-day treatment accelerated regimen"
carboxymethylcellulose sodium,OTC,Refresh Tears,"AI-compiled list (unverified ranking, names cross-checked): Lubricant eye drops for dry eye irritation"
propylene glycol / polyethylene glycol,OTC,Systane Ultra,"AI-compiled list (unverified ranking, names cross-checked): Artificial tears for ocular lubrication"
carbamide peroxide (otic),OTC,Debrox,"AI-compiled list (unverified ranking, names cross-checked): Earwax removal drops"
isopropyl alcohol / anhydrous glycerin,OTC,Swim-Ear,"AI-compiled list (unverified ranking, names cross-checked): Drying agent for external ear canal water clearance"
benzocaine (oral),OTC,"Orajel, Anbesol","AI-compiled list (unverified ranking, names cross-checked): Topical local anesthetic for toothache/canker sores"
hydrogen peroxide (oral),OTC,Peroxyl Rinse,"AI-compiled list (unverified ranking, names cross-checked): Debriding agent and oral wound cleanser"
mineral oil / petrolatum (ophthalmic),OTC,Refresh PM,"AI-compiled list (unverified ranking, names cross-checked): Ophthalmic nighttime lubricant ointment"
artificial tears (polyvinyl alcohol),OTC,Murine Tears,"AI-compiled list (unverified ranking, names cross-checked): General dry eye lubricant drop"
brimonidine tartrate 0.025%,OTC,Lumify,"AI-compiled list (unverified ranking, names cross-checked): Selective ocular redness reliever"
carbamide peroxide (oral),OTC,Gly-Oxide Liquid,"AI-compiled list (unverified ranking, names cross-checked): Antiseptic oral cleanser for canker sores"
potassium nitrate,OTC,Sensodyne Toothpaste,"AI-compiled list (unverified ranking, names cross-checked): Desensitizing dentifrice for nerve pathways"
sodium fluoride,OTC,Crest Cavity Protection,"AI-compiled list (unverified ranking, names cross-checked): Anti-cavity dental mineral supplement"
stannous fluoride,OTC,Crest Pro-Health,"AI-compiled list (unverified ranking, names cross-checked): Anti-cavity, anti-gingivitis dental mineral"
cetylpyridinium chloride,OTC,Crest Pro-Health Rinse,"AI-compiled list (unverified ranking, names cross-checked): Antimicrobial oral mouthwash"
polyethylene glycol / propylene glycol,OTC,Systane Complete,"AI-compiled list (unverified ranking, names cross-checked): Multi-dose dry eye relief formula"
carboxymethylcellulose (high viscosity),OTC,Refresh Celluvisc,"AI-compiled list (unverified ranking, names cross-checked): High-viscosity thick dry eye gel drops"
mineral oil / white petrolatum (ophthalmic),OTC,Soothe Nighttime,"AI-compiled list (unverified ranking, names cross-checked): Preservative-free severe dry eye ointment"
polyvinyl alcohol / povidone,OTC,Refresh Classic,"AI-compiled list (unverified ranking, names cross-checked): Unit-dose lubricating eye drop alternative"
hypromellose,OTC,Tears Naturale II,"AI-compiled list (unverified ranking, names cross-checked): Ophthalmic demulcent eye solution"
sodium chloride hypertonic 5%,OTC,Muro 128 Ophthalmic,"AI-compiled list (unverified ranking, names cross-checked): Corneal edema dehydration ointment/drops"
levonorgestrel 1.5mg,OTC,Plan B One-Step,"AI-compiled list (unverified ranking, names cross-checked): Emergency post-coital contraceptive"
norgestrel 0.075mg,OTC,Opill,"AI-compiled list (unverified ranking, names cross-checked): Once-daily oral progestin-only contraceptive"
phenazopyridine hydrochloride,OTC,AZO Urinary Pain Relief,"AI-compiled list (unverified ranking, names cross-checked): Urinary tract local analgesic"
nicotine polacrilex,OTC,Nicorette Gum / Lozenge,"AI-compiled list (unverified ranking, names cross-checked): Nicotine replacement therapy for smoking cessation"
nicotine transdermal,OTC,NicoDerm CQ,"AI-compiled list (unverified ranking, names cross-checked): Long-acting smoking cessation patch"
orlistat 60mg,OTC,Alli,"AI-compiled list (unverified ranking, names cross-checked): Lipase inhibitor for weight management"
diphenhydramine citrate (sleep),OTC,ZzzQuil,"AI-compiled list (unverified ranking, names cross-checked): Antihistamine sleep aid induction"
caffeine,OTC,"NoDoz, Vivarin","AI-compiled list (unverified ranking, names cross-checked): Central nervous system stimulant for alertness"
naloxone hydrochloride,OTC,Narcan Nasal Spray,"AI-compiled list (unverified ranking, names cross-checked): Opioid overdose reversal emergency treatment"
cyanocobalamin (oral),OTC,Nature Made B12,"AI-compiled list (unverified ranking, names cross-checked): Systemic Vitamin B12 nutritional supplement"
ferrous sulfate,OTC,Feosol,"AI-compiled list (unverified ranking, names cross-checked): Iron mineral supplement for anemia management"
calcium carbonate / vitamin d3,OTC,Caltrate,"AI-compiled list (unverified ranking, names cross-checked): Bone density mineral and vitamin replenishment"
choline salicylate,OTC,Arthropan,"AI-compiled list (unverified ranking, names cross-checked): Liquid oral analgesic variant"
